00:6;69;0.02; 0.10;974
00:7;69;0.04; 0.17;976
00:8;69;0.05; 0.23;976
00:9;73;0.07; 0.27;975
00:10;73;0.09; 0.30;973
00:11;73;0.11; 0.33;948
00:12;73;0.13; 0.35;936
00:13;80;0.14; 0.37;943
00:14;80;0.16; 0.39;974
00:16;79;0.18; 0.38;969
00:17;78;0.20; 0.39;968
00:19;85;0.51; 0.89;928
00:20;76;0.52; 0.87;938
00:21;70;0.54; 0.86;957
00:23;69;0.56; 0.81;976
00:24;70;0.58; 0.80;972
00:25;70;0.60; 0.79;958
00:26;70;0.61; 0.79;973
00:27;68;0.63; 0.78;919
00:28;72;0.65; 0.77;962
00:29;78;0.67; 0.77;955
00:30;80;0.85; 0.94;903
00:31;80;0.87; 0.93;922
00:33;66;1.08; 1.09;966
00:34;65;1.25; 1.22;907
00:35;66;1.43; 1.36;912
00:36;65;1.44; 1.34;970
00:37;65;1.46; 1.32;948
00:38;67;1.48; 1.30;876
00:39;70;1.62; 1.39;893
00:40;73;1.84; 1.53;953
00:41;80;2.02; 1.64;913
00:42;80;2.17; 1.72;945
00:43;81;2.35; 1.82;944
00:44;79;2.51; 1.90;897
00:45;79;2.65; 1.96;895
00:46;79;2.83; 2.05;915
00:47;83;2.98; 2.11;863
00:48;93;3.25; 2.25;924
00:49;93;3.27; 2.22;931
00:50;82;3.52; 2.34;952
00:51;77;3.70; 2.42;935
00:52;73;3.88; 2.49;931
00:54;66;4.15; 2.56;929
00:55;62;4.33; 2.62;942
00:56;59;4.49; 2.67;917
00:57;58;4.71; 2.75;903
00:58;57;4.91; 2.82;974
00:59;54;5.05; 2.85;960
00:60;58;5.25; 2.92;931
01:0;58;5.27; 2.93;975
01:1;57;5.29; 2.89;950
01:2;57;5.42; 2.91;928
01:3;55;5.61; 2.97;952
01:4;57;5.81; 3.02;936
01:5;59;5.94; 3.04;300
01:6;61;6.14; 3.10;966
01:7;61;6.16; 3.06;969
01:8;62;6.41; 3.14;925
01:9;64;6.43; 3.10;928
01:10;67;6.46; 3.07;974
01:11;81;6.70; 3.14;926
01:12;84;6.86; 3.17;920
01:13;84;6.88; 3.14;944
01:14;75;7.08; 3.18;959
01:15;69;7.38; 3.28;921
01:16;64;7.40; 3.24;930
01:17;61;7.62; 3.29;956
01:18;62;7.87; 3.36;967
01:19;62;7.89; 3.32;943
01:20;56;8.09; 3.37;930
01:21;54;8.36; 3.44;973
01:22;54;8.38; 3.40;975
01:23;49;8.54; 3.43;951
01:24;46;8.77; 3.48;976
01:25;46;9.03; 3.54;884
01:26;43;9.24; 3.58;974
01:27;48;9.42; 3.61;974
01:28;50;9.55; 3.61;952
01:29;61;9.82; 3.67;974
01:30;61;9.84; 3.64;972
01:31;62;10.07; 3.69;934
01:32;67;10.25; 3.71;975
01:33;67;10.27; 3.68;960
01:34;65;10.51; 3.72;974
01:35;68;10.69; 3.75;969
01:36;64;10.81; 3.75;939
01:37;64;11.06; 3.80;974
01:38;57;11.32; 3.85;921
01:39;57;11.34; 3.81;958
01:40;54;11.61; 3.86;975
01:41;54;11.62; 3.83;973
01:42;46;11.75; 3.84;968
01:43;42;12.06; 3.90;975
01:44;42;12.08; 3.87;974
01:45;39;12.29; 3.90;903
01:46;39;12.49; 3.92;974
01:47;40;12.65; 3.94;912
01:48;40;12.78; 3.94;974
01:49;40;12.98; 3.96;975
01:50;40;13.10; 3.97;943
01:51;41;13.38; 4.01;974
01:52;41;13.39; 3.98;955
01:53;41;13.63; 4.02;918
01:54;42;13.81; 4.03;959
01:55;42;13.83; 4.00;893
01:56;43;14.06; 4.04;903
01:57;47;14.26; 4.06;975
01:58;47;14.28; 4.03;975
01:59;48;14.53; 4.07;921
01:60;48;14.55; 4.04;928
02:0;48;14.57; 4.04;976
02:1;48;14.58; 4.01;973
02:2;48;14.60; 3.99;973
02:3;48;14.77; 4.00;901
02:4;38;15.02; 4.03;976
02:5;38;15.04; 4.01;900
02:6;40;15.27; 4.04;907
02:7;43;15.29; 4.01;894
02:8;49;15.31; 3.98;973
02:9;53;15.43; 3.98;974
02:10;57;15.58; 3.99;973
02:11;68;15.60; 3.96;975
02:12;75;15.61; 3.94;975
02:13;82;15.83; 3.96;957
02:14;82;16.03; 3.98;976
02:15;81;16.05; 3.96;965
02:16;82;16.26; 3.98;921
02:17;93;16.48; 4.01;975
02:18;99;16.50; 3.98;906
02:19;114;16.84; 4.03;850
02:20;118;16.86; 4.01;975
02:21;123;16.88; 3.99;893
02:22;132;17.09; 4.01;949
02:24;113;17.44; 4.03;843
02:25;109;17.54; 4.03;974
02:26;115;17.82; 4.06;825
02:27;106;17.83; 4.04;976
02:28;123;18.16; 4.09;973
02:29;136;18.18; 4.06;975
02:30;134;18.39; 4.08;841
02:31;134;18.72; 4.13;975
02:32;134;18.74; 4.10;816
02:33;110;18.93; 4.12;803
02:34;85;19.21; 4.15;971
02:35;85;19.22; 4.13;819
02:36;81;19.46; 4.15;816
02:37;71;19.76; 4.19;874
02:38;71;19.78; 4.17;848
02:39;66;20.02; 4.19;974
02:40;63;20.31; 4.23;829
02:41;60;20.41; 4.22;829
02:42;66;20.56; 4.23;804
02:43;66;20.58; 4.20;899
02:44;59;20.79; 4.22;765
02:45;59;20.81; 4.20;782
02:46;56;21.05; 4.22;974
02:47;56;21.06; 4.20;820
02:48;50;21.28; 4.22;766
02:49;49;21.59; 4.25;886
02:50;49;21.61; 4.23;759
02:51;51;21.82; 4.25;821
02:52;49;22.13; 4.28;819
02:53;49;22.15; 4.26;768
02:54;50;22.38; 4.28;974
02:55;79;22.71; 4.32;754
02:56;85;22.82; 4.32;742
02:57;108;23.12; 4.35;936
02:58;109;23.14; 4.33;750
02:59;137;23.45; 4.36;802
02:60;131;23.46; 4.34;780
03:0;131;23.48; 4.34;726
03:1;137;23.50; 4.32;729
03:2;144;23.79; 4.35;961
03:3;136;23.81; 4.33;760
03:4;123;23.92; 4.33;744
03:5;111;24.20; 4.36;975
03:6;88;24.22; 4.34;760
03:7;88;24.44; 4.35;719
03:8;79;24.66; 4.37;907
03:9;68;24.67; 4.35;786
03:10;68;24.89; 4.36;697
03:12;56;25.16; 4.36;864
03:13;54;25.36; 4.38;726
03:14;54;25.52; 4.38;746
03:15;50;25.54; 4.36;718
03:16;50;25.78; 4.38;743
03:17;48;25.79; 4.36;696
